problem_number,pass_num,total_num,accuracy
099,0,1,0
100,1,1,1
101,1,1,1
102,1,1,1
103,0,1,0
104,1,1,1
105,1,1,1
106,0,1,0
107,1,1,1
108,0,1,0
109,0,1,0
110,0,1,0
111,0,1,0
112,1,1,1
113,0,1,0
114,0,1,0
115,1,1,1
116,0,1,0
117,1,1,1
118,0,1,0
119,1,1,1
120,1,1,1
121,1,1,1
122,0,1,0
123,1,1,1
124,0,1,0
125,0,1,0
126,0,1,0
127,1,1,1
128,1,1,1
129,0,1,0
130,0,1,0
131,0,1,0
132,1,1,1
133,1,1,1
134,0,1,0
135,1,1,1
136,1,1,1
137,0,1,0
138,0,1,0
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,0,1,0
145,0,1,0
146,1,1,1
147,0,1,0
148,0,1,0
149,0,1,0
150,0,1,0
151,0,1,0
152,1,1,1
153,1,1,1
154,1,1,1
155,0,1,0
156,0,1,0
157,1,1,1
158,1,1,1
159,0,1,0
160,1,1,1
161,1,1,1
162,0,1,0
163,0,1,0
164,1,1,1
165,0,1,0
166,0,1,0
167,1,1,1
168,0,1,0
169,0,1,0
170,1,1,1
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,0,1,0
177,0,1,0
178,0,1,0
179,1,1,1
180,1,1,1
181,1,1,1
182,0,1,0
183,0,1,0
184,1,1,1
185,0,1,0
186,1,1,1
187,0,1,0
188,0,1,0
189,1,1,1
190,1,1,1
191,0,1,0
192,0,1,0
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,1,1,1
200,0,1,0
201,0,1,0
202,0,1,0
203,0,1,0
204,1,1,1
205,0,1,0
206,0,1,0
207,0,1,0
208,0,1,0
209,0,1,0
210,0,1,0
211,1,1,1
212,1,1,1
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,1,1,1
218,0,1,0
219,1,1,1
220,0,1,0
221,0,1,0
222,0,1,0
223,0,1,0
224,1,1,1
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,0,1,0
233,0,1,0
234,0,1,0
235,0,1,0
236,0,1,0
237,0,1,0
238,0,1,0
239,0,1,0
240,0,1,0
241,0,1,0
242,0,1,0
243,0,1,0
244,0,1,0
245,0,1,0
246,0,1,0
247,0,1,0
248,0,1,0
249,0,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,1,0
254,0,1,0
255,0,1,0
256,0,1,0
257,0,1,0
258,1,1,1
259,0,1,0
260,0,1,0
261,1,1,1
262,0,1,0
263,0,1,0
264,0,1,0
265,0,1,0
266,1,1,1
267,0,1,0
268,0,1,0
269,0,1,0
270,0,1,0
271,0,1,0
272,0,1,0
273,0,1,0
274,0,1,0
275,0,1,0
276,0,1,0
277,0,1,0
278,0,1,0
279,0,1,0
280,0,1,0
281,0,1,0
282,0,1,0
283,0,1,0
284,0,1,0
285,1,1,1
286,0,1,0
287,0,1,0
